subsample,reg_lambda,reg_alpha,min_child_weight,max_depth,gamma,eta,colsample_bytree,train_rmsle,valid_rmsle,test_rmsle,train_r2score,valid_r2score,test_r2score
0.9,1.0,1.0,5,9,0.25,0.05,0.5,0.22275809254222584,0.232622207753322,0.23164741980686732,0.8471370596066924,0.8331597008186772,0.8345280152237209
0.7,0.01,5.0,2,3,5.0,0.05,0.1,0.26877978120382523,0.2691239837988306,0.26886276673809584,0.7774495788235603,0.7766924434430509,0.7770893241558284
0.9,0.01,0.1,2,13,5.0,0.01,0.9,0.24276359508114162,0.24587418375368397,0.24511237156989876,0.8184474517376215,0.8136091984597649,0.8147321738670013
0.7,1.0,10.0,2,3,1.0,0.1,0.7,0.2520423812897039,0.25308357986163255,0.25214222373710327,0.8043038071937503,0.8025184390109091,0.8039527750759661
0.8,10.0,0.01,100,11,2.0,0.05,0.3,0.2411802184673616,0.24435636171220626,0.24381586391002957,0.8208080082228956,0.8159033380350069,0.8166869172293214
0.7,10.0,0.1,1,13,0.5,0.5,0.9,0.22387590676952918,0.23926515043766924,0.23884219856592956,0.845599058523683,0.8234947986627617,0.824089540823244
0.7,100.0,100.0,20,13,0.25,0.3,0.7,0.23839586708783791,0.24169228269308105,0.24086714896572647,0.8249215582975848,0.8198956590249602,0.8210940905613935
0.9,100.0,10.0,1,9,1.0,0.5,0.9,0.24075659440287525,0.24442069554282198,0.24385569502117027,0.8214369434961457,0.8158063878064602,0.8166270182541829
0.9,0.01,100.0,20,11,0.5,0.01,0.7,0.2392228367317739,0.2419082371301452,0.24114027604717453,0.8237047949417342,0.819573665228809,0.8206881260836756
0.9,5.0,100.0,2,9,5.0,0.05,0.3,0.2559037976004652,0.2568739459679965,0.2565901141050702,0.7982615451961144,0.7965588847421095,0.7969750643566745
0.9,0.01,5.0,100,3,2.0,0.05,0.9,0.25754116059767374,0.2581721981737301,0.2574786644540987,0.795671698282815,0.7944972875077355,0.7955665125929068
0.9,1.0,5.0,20,5,0.25,0.5,0.9,0.2326734139099063,0.23758603834005448,0.2369156544966473,0.8332258435838674,0.825963458058589,0.8269159462303518
0.7,100.0,5.0,10,5,5.0,0.1,0.1,0.26357380028180044,0.2642961019353254,0.263875338944595,0.7859872216253511,0.7846325185948364,0.7852826443050753
0.7,0.1,0.1,5,13,0.25,0.05,0.7,0.19639117389945654,0.22816088765186046,0.2273210584030948,0.8811828419189857,0.8394977927863969,0.8406511694262896
0.8,5.0,0.01,2,5,0.25,0.1,0.9,0.22938494390200445,0.23452914818547266,0.2334967679366879,0.837906706730333,0.8304131138551116,0.8318753905024031
0.9,10.0,1.0,5,9,0.5,0.1,0.5,0.22994073765261727,0.2362979281306299,0.2353171988518447,0.8371202594485152,0.8278454755304484,0.8292436425993728
